	event
01OV007	False
01OV017	False
01OV018	False
01OV023	False
01OV026	True
01OV030	False
01OV039	False
01OV041	True
01OV047	False
02OV005	True
02OV006	True
02OV008	True
02OV015	False
02OV022	False
02OV023	False
02OV029	False
02OV032	False
02OV036	False
02OV041	False
02OV044	True
02OV046	True
04OV001	False
04OV004	False
04OV005	True
04OV008	False
04OV011	False
04OV012	False
04OV013	True
04OV017	True
04OV018	True
04OV021	False
04OV023	False
04OV024	False
04OV027	False
04OV028	False
04OV031	True
04OV033	False
04OV036	False
04OV037	False
04OV039	True
04OV040	False
04OV044	False
04OV045	True
04OV048	False
04OV049	False
04OV050	False
04OV051	False
04OV053	False
04OV054	False
04OV055	True
04OV057	True
04OV058	True
04OV063	False
11OV002	True
13OV003	False
14OV011	True
15OV001	False
17OV001	False
17OV002	False
17OV010	False
17OV011	False
17OV013	False
17OV014	False
17OV015	False
17OV017	False
17OV018	False
17OV025	False
17OV027	False
17OV028	False
17OV029	True
17OV030	True
17OV033	True
17OV036	True
17OV039	True
17OV040	False
18OV001	False
20OV005	True
26OV002	True
26OV008	False
26OV009	False
26OV011	False
26OV013	False
