	gain_event
C3L-00001	False
C3L-00009	False
C3L-00080	False
C3L-00083	False
C3L-00093	False
C3L-00094	True
C3L-00095	False
C3L-00140	False
C3L-00144	False
C3L-00263	False
C3L-00279	False
C3L-00368	False
C3L-00412	False
C3L-00422	False
C3L-00510	False
C3L-00604	False
C3L-00893	False
C3L-00913	False
C3L-00973	False
C3L-01330	False
C3L-01632	False
C3L-01682	False
C3L-01683	False
C3L-01862	False
C3L-01889	False
C3L-01924	False
C3L-02219	False
C3L-02345	False
C3L-02348	False
C3L-02350	False
C3L-02365	False
C3L-02508	False
C3L-02549	False
C3N-00167	False
C3N-00169	False
C3N-00175	False
C3N-00180	False
C3N-00199	False
C3N-00203	False
C3N-00217	False
C3N-00223	False
C3N-00293	False
C3N-00294	False
C3N-00433	False
C3N-00546	False
C3N-00547	False
C3N-00549	True
C3N-00550	False
C3N-00551	False
C3N-00552	False
C3N-00556	False
C3N-00559	True
C3N-00560	False
C3N-00572	False
C3N-00574	True
C3N-00578	False
C3N-00579	False
C3N-00580	False
C3N-00704	False
C3N-00737	False
C3N-00738	False
C3N-00959	False
C3N-01016	False
C3N-01021	False
C3N-01023	False
C3N-01024	False
C3N-01030	False
C3N-01071	False
C3N-01072	False
C3N-01074	False
C3N-01405	False
C3N-01410	False
C3N-01413	False
C3N-01414	False
C3N-01415	False
C3N-01416	False
C3N-01488	False
C3N-01489	False
C3N-01799	False
C3N-01823	True
C3N-01842	True
C3N-02000	False
C3N-02002	False
C3N-02003	False
C3N-02067	False
C3N-02087	False
C3N-02089	False
C3N-02145	False
C3N-02149	False
C3N-02155	False
C3N-02158	False
C3N-02379	False
C3N-02380	False
C3N-02421	False
C3N-02422	False
C3N-02423	False
C3N-02424	False
C3N-02433	False
C3N-02529	False
C3N-02572	False
C3N-02582	False
C3N-02586	False
C3N-02587	False
C3N-02588	False
C3N-02729	False
X11LU013	False
X11LU016	False
X11LU022	False
X11LU035	False
