	5_gain_event	5_loss_event	8_gain_event	8_loss_event	13_loss_event	20_gain_event
C3L-00081	True	True	True	False	False	True
C3L-00415	True	False	True	True	False	False
C3L-00445	True	True	True	True	False	True
C3L-00568	True	True	False	False	True	False
C3L-00603	False	True	False	False	True	False
C3L-00904	False	True	False	False	True	False
C3L-00923	True	False	False	False	False	False
C3L-00927	True	True	False	False	True	False
C3L-00965	True	True	False	False	True	True
C3L-00993	True	False	True	True	False	False
C3L-01000	True	True	True	False	True	False
C3L-01285	False	False	True	True	False	False
C3L-01455	True	False	False	False	False	False
C3L-01606	False	True	True	True	True	False
C3L-01663	True	True	False	True	False	False
C3L-01838	True	False	True	False	False	False
C3L-01884	True	True	False	True	True	False
C3L-02127	True	False	True	True	False	False
C3L-02130	True	False	False	False	False	True
C3L-02163	True	True	False	False	True	False
C3L-02164	False	False	False	False	False	False
C3L-02168	True	True	False	False	False	False
C3L-02170	True	False	False	False	False	False
C3L-02349	True	True	False	True	False	True
C3L-02358	True	True	True	False	True	False
C3L-02546	False	False	True	False	False	True
C3L-02552	False	False	False	False	False	False
C3L-02619	True	False	False	False	False	True
C3L-02625	False	False	False	True	True	False
C3L-02627	True	True	False	True	True	False
C3L-02629	False	False	False	False	False	False
C3L-02646	False	False	False	True	True	False
C3L-02648	True	False	True	False	False	False
C3L-02649	True	True	False	True	False	False
C3L-02650	False	False	False	False	False	False
C3L-02660	False	False	False	False	False	True
C3L-02665	True	True	False	True	False	False
C3L-02669	False	False	False	True	False	False
C3L-02891	True	False	False	False	False	False
C3L-02951	True	False	False	False	False	False
C3L-02963	False	False	True	False	False	False
C3L-02964	True	True	True	True	True	False
C3L-02968	True	True	True	True	True	True
C3L-02969	False	False	False	False	False	False
C3L-03272	False	False	False	False	False	False
C3L-03678	False	True	False	True	True	False
C3L-03961	False	False	False	False	False	False
C3L-03962	True	False	True	True	False	True
C3L-03963	True	False	False	False	False	True
C3L-03965	False	True	False	True	True	False
C3L-04013	True	True	True	True	False	True
C3L-04014	True	True	False	False	False	False
C3L-04071	True	False	False	False	False	False
C3L-04391	True	False	False	False	False	False
C3N-00211	False	False	False	False	False	False
C3N-00221	False	True	False	False	True	False
C3N-00247	False	False	False	False	False	False
C3N-00497	False	False	False	False	False	False
C3N-00555	True	False	False	True	True	False
C3N-01017	False	False	False	True	False	False
C3N-01020	False	False	True	False	False	True
C3N-01025	True	True	False	True	True	True
C3N-01028	True	True	False	False	True	False
C3N-01194	True	False	False	False	False	False
C3N-01411	False	True	False	True	True	False
C3N-01846	True	True	False	True	False	True
C3N-01892	True	False	False	True	True	False
C3N-01893	False	False	False	True	False	False
C3N-02252	True	False	False	True	True	False
C3N-02283	True	True	True	False	True	False
C3N-02284	True	True	False	True	False	False
C3N-02285	True	True	False	True	False	False
C3N-02288	False	False	False	False	True	True
C3N-02289	True	False	False	False	False	False
C3N-02300	False	True	False	True	True	False
C3N-02339	True	False	False	True	True	False
C3N-02374	True	False	True	False	True	False
C3N-02375	True	True	True	False	False	False
C3N-02425	True	True	True	True	True	False
C3N-02426	True	False	True	False	False	False
C3N-02434	True	True	True	True	True	False
C3N-02435	True	True	True	False	True	True
C3N-02494	False	True	False	True	True	False
C3N-02523	True	True	True	False	False	False
C3N-02575	True	False	False	True	False	False
C3N-02675	False	False	False	False	False	False
C3N-03051	True	True	True	False	False	False
C3N-03072	True	False	True	False	False	False
C3N-03076	False	True	True	True	False	False
C3N-03092	True	False	False	True	False	False
C3N-03093	False	False	False	True	False	False
C3N-03204	False	True	False	True	True	False
C3N-03424	True	False	False	False	False	False
C3N-03425	True	False	False	False	False	True
C3N-03441	False	False	False	True	False	False
C3N-03486	True	False	False	True	False	False
C3N-03662	True	True	True	True	True	False
C3N-03848	False	False	False	False	False	False
C3N-03851	False	True	False	True	True	False
C3N-03875	False	False	True	False	False	False
C3N-03877	False	False	True	True	True	True
C3N-03880	False	True	False	False	True	False
C3N-03882	False	False	True	True	True	True
C3N-03886	False	True	False	False	False	False
C3N-04124	True	False	False	False	False	False
C3N-04127	False	False	True	False	False	False
C3N-04155	False	False	False	True	False	False
C3N-04162	True	False	False	False	False	False
