	5_gain_event	5_loss_event	8_gain_event	8_loss_event	13_loss_event	20_gain_event
C3L-00006	False	False	False	False	False	True
C3L-00008	False	False	False	False	False	False
C3L-00032	False	False	False	False	False	False
C3L-00090	False	False	True	False	False	False
C3L-00098	False	True	True	True	False	False
C3L-00136	False	False	False	False	False	False
C3L-00137	False	False	False	False	False	False
C3L-00139	False	True	False	False	False	True
C3L-00143	False	False	False	False	False	False
C3L-00145	False	False	False	False	False	False
C3L-00156	False	False	False	False	False	False
C3L-00161	False	False	False	False	False	False
C3L-00358	False	False	True	True	True	True
C3L-00361	False	False	False	False	False	False
C3L-00362	False	False	False	False	False	False
C3L-00413	False	False	False	False	False	False
C3L-00449	False	False	False	False	False	False
C3L-00563	False	False	False	False	False	False
C3L-00586	False	False	False	False	False	False
C3L-00601	False	False	False	False	False	False
C3L-00605	False	False	False	False	False	False
C3L-00767	False	False	False	False	False	False
C3L-00769	False	False	False	False	False	False
C3L-00770	False	False	False	False	False	False
C3L-00771	False	False	False	False	False	False
C3L-00780	False	False	False	False	False	False
C3L-00781	False	False	False	False	False	False
C3L-00905	False	True	False	False	True	False
C3L-00918	False	False	False	False	False	False
C3L-00921	False	False	True	False	False	False
C3L-00932	False	False	False	False	False	False
C3L-00942	False	False	False	False	False	False
C3L-00946	False	False	False	False	False	False
C3L-00947	False	False	False	False	False	False
C3L-00949	False	False	True	False	False	False
C3L-00961	False	False	False	False	False	False
C3L-00963	False	False	False	True	False	False
C3L-01246	False	False	False	False	False	False
C3L-01248	False	False	False	False	False	False
C3L-01249	False	False	False	False	False	False
C3L-01252	False	False	False	False	False	False
C3L-01256	False	False	False	False	False	False
C3L-01257	False	False	False	False	False	False
C3L-01275	False	False	False	False	False	False
C3L-01282	False	False	False	False	False	False
C3L-01304	False	False	False	False	False	False
C3L-01307	False	True	False	False	False	False
C3L-01311	False	False	False	False	False	False
C3L-01312	False	False	False	False	False	False
C3L-01744	False	False	False	False	False	False
C3L-01925	True	True	True	False	True	False
C3N-00151	False	False	False	False	False	False
C3N-00200	False	False	False	False	False	False
C3N-00321	False	False	False	False	False	False
C3N-00322	False	False	False	False	False	False
C3N-00323	False	False	False	False	False	False
C3N-00324	False	False	False	False	False	False
C3N-00326	False	False	False	False	False	False
C3N-00328	False	False	False	False	False	False
C3N-00333	False	False	True	False	False	False
C3N-00334	False	False	False	False	False	False
C3N-00335	False	False	False	False	False	False
C3N-00337	True	True	False	False	True	False
C3N-00339	False	True	False	False	True	False
C3N-00340	False	False	False	True	False	True
C3N-00377	False	False	False	False	False	False
C3N-00379	False	False	False	False	False	False
C3N-00383	False	False	False	False	False	False
C3N-00386	False	False	False	False	False	False
C3N-00388	False	False	False	False	False	False
C3N-00389	False	False	False	False	False	False
C3N-00729	False	False	False	False	False	False
C3N-00734	False	False	False	False	False	False
C3N-00743	False	False	False	False	False	False
C3N-00836	False	False	False	False	False	False
C3N-00847	False	False	False	False	False	False
C3N-00848	False	False	False	False	False	False
C3N-00850	False	False	False	False	False	False
C3N-00858	False	False	True	False	False	False
C3N-00866	False	False	True	False	False	False
C3N-00880	False	False	True	False	False	False
C3N-01003	True	False	True	False	False	True
C3N-01211	False	False	False	False	False	False
C3N-01212	False	False	False	False	False	False
C3N-01217	False	False	False	False	False	False
C3N-01219	False	False	False	False	False	True
C3N-01267	False	False	False	False	False	False
C3N-01346	False	True	False	False	False	False
C3N-01349	False	False	False	False	False	False
C3N-01510	False	False	False	False	False	False
C3N-01520	False	False	False	False	False	False
C3N-01521	False	True	True	True	True	False
C3N-01537	False	False	False	False	False	False
C3N-01802	False	False	False	False	False	False
C3N-01825	False	False	False	False	False	False
